name,doresal/ventral,anterior/posterior,left/right,sex,sub/family,genus,species,subspecies,name,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4
JM02.0675,v,Ant,d, ,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0675-v_Ant_d,1090526.0,826.9662,905.0,-66.7822,216411744344.0,124235745282438.0,7.76594516911331e+16,0.49223999999999996,0.53566,0.57081
JM02.0675,v,Ant,g, ,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0675-v_Ant_g,1073100.0,796.6858,862.0,-58.4482,202659177288.0,112615953515302.0,6.79109497967825e+16,0.50415,0.5472,0.58186
JM02.0684,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0684-d_Ant_d,1144062.0,842.9465,943.0,-9.6248,250176772787.0,148797884807033.0,9.62666105701588e+16,0.49588999999999994,0.53728,0.57114
JM02.0684,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0684-d_Ant_g,1138059.0,840.3665,935.0,0.5573199999999999,241783116734.0,142376780968350.0,9.12627207490636e+16,0.49296999999999996,0.53491,0.56914
JM02.0684,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0684-v_Ant_d,1138655.0,841.0647,935.0,-11.6489,242184294048.0,142717552797930.0,9.15545079612661e+16,0.49325,0.5352399999999999,0.56952
JM02.0684,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0684-v_Ant_g,1146032.0,843.5338,943.0,4.3439,250704210993.0,149193052111279.0,9.65903788962378e+16,0.49599,0.53745,0.57138
JM02.0685,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0685-d_Ant_d,1077807.0,818.1634,892.0,17.9726,219163697958.0,125714957878962.0,7.82353130256622e+16,0.50553,0.54775,0.5819
JM02.0685,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0685-d_Ant_g,1066441.0,813.0155,890.0,46.6972,215659122592.0,123102312282480.0,7.61773172929669e+16,0.50527,0.54708,0.58087
JM02.0685,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0685-v_Ant_d,1070718.0,814.3710000000001,892.0,35.9968,217282155149.0,124236091857587.0,7.70005989321722e+16,0.50502,0.5468,0.58055
JM02.0685,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0685-v_Ant_g,1077765.0,818.8487,895.0,17.0257,219177314581.0,125781952977113.0,7.8327341283505e+16,0.5038600000000001,0.54602,0.58013
JM02.0686,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0686-d_Ant_d,1109642.0,833.2810000000001,921.0,16.137,237117196491.0,139419654537371.0,8.91204704824211e+16,0.50192,0.54382,0.57801
JM02.0686,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0686-d_Ant_g,1117276.0,842.3155,932.0,27.6992,240228152024.0,142015375255842.0,9.12697997518343e+16,0.49753000000000003,0.5394800000000001,0.57362
