name,name.1,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4,max_axe_1_length
MJ02.0920-d_Ant_d,0920-d_Ant_d,1011564.0,799.5642,869.0,-80.0549,195021474287.0,109069300575199.0,6.61300321225547e+16,0.50527,0.54771,0.58188,1693.0
MJ02.0920-d_Post_d,0920-d_Post_d,632047.0,710.3585,713.0,-8.7103,92939011890.0,45487408385306.0,2.39705355407963e+16,0.53782,0.58339,0.61893,1127.0
MJ02.0921-d_Ant_g,0921-d_Ant_g,920525.0,749.535,816.0,-24.883,158474971545.0,83448055508493.0,4.76324379155457e+16,0.50848,0.55052,0.58449,1690.0
MJ02.0921-d_Post_g,0921-d_Post_g,623303.0,715.5646,715.0,-90.8467,93164051058.0,45928023174044.0,2.43681376060619e+16,0.54072,0.58635,0.62191,1111.0
MJ02.0927-d_Ant_d,0927-d_Ant_d,1095776.0,824.4503,893.0,-72.4832,231921570417.0,134903267865967.0,8.49072289576546e+16,0.51518,0.55708,0.59082,1778.0
MJ02.0927-d_Post_d,0927-d_Post_d,769811.0,841.5215,852.0,-0.83922,167876639380.0,99050629812960.0,6.28958886749476e+16,0.5481,0.59254,0.62751,1167.0
MJ02.0928-d_Ant_d,0928-d_Ant_d,1058401.0,806.4694,877.0,-48.9423,211316911502.0,119675927930734.0,7.33600281135355e+16,0.5095,0.55138,0.58506,1780.0
MJ02.0928-d_Post_d,0928-d_Post_d,668327.0,744.7868,744.0,-52.7742,107801885157.0,55294396292219.0,3.0540403434461e+16,0.53982,0.58568,0.62144,1127.0
MJ02.0929-d_Ant_d,0929-d_Ant_d,1119504.0,813.6183,869.0,-103.6066,222266187107.0,126000518261551.0,7.72386412105683e+16,0.51275,0.5556,0.58977,1807.0
MJ02.0929-d_Post_d,0929-d_Post_d,736372.0,794.371,783.0,-66.2947,134416191155.0,73486966361309.0,4.32922195830855e+16,0.54565,0.59239,0.62888,1178.0
MJ02.0930-d_Ant_d,0930-d_Ant_d,1140265.0,821.4484,882.0,-62.8407,235729285490.0,135826485102108.0,8.46306243870458e+16,0.51551,0.55786,0.59178,1834.0
MJ02.0930-d_Post_d,0930-d_Post_d,773699.0,835.9521,852.0,-111.3408,165404862905.0,96697291262783.0,6.08084020157416e+16,0.54269,0.58682,0.62145,1176.0
MJ02.0931-d_Ant_d,0931-d_Ant_d,1113288.0,845.216,917.0,-19.2093,245226010060.0,145728958460214.0,9.37371467435361e+16,0.51181,0.5537,0.58743,1768.0
MJ02.0931-d_Post_g,0931-d_Post_g,728345.0,778.6014,786.0,-62.1389,130045066487.0,69971818486183.0,4.05284222023231e+16,0.5376,0.58269,0.61792,1178.0
MJ02.0932-d_Ant_d,0932-d_Ant_d,992810.0,774.2684,838.0,-96.3696,180699377503.0,97939284174809.0,5.74626809823012e+16,0.5091,0.55138,0.58531,1689.0
MJ02.0932-d_Post_g,0932-d_Post_g,690890.0,781.2678,790.0,-25.7655,127607134014.0,69466148932452.0,4.06844015008026e+16,0.54401,0.58861,0.62356,1110.0
MJ02.0933-d_Ant_d,0933-d_Ant_d,1144441.0,827.5239,899.0,-39.3705,239653845131.0,139150343364019.0,8.74623374137866e+16,0.50902,0.55107,0.58485,1846.0
MJ02.0933-d_Post_d,0933-d_Post_d,762004.0,824.5147,826.0,-14.4727,153943056384.0,87909751508512.0,5.40169064490075e+16,0.54415,0.58936,0.62469,1177.0
MJ02.0937-d_Ant_d,0937-d_Ant_d,1128681.0,825.7041,897.0,-60.5955,238215270083.0,138425459918965.0,8.69934136283941e+16,0.51216,0.55389,0.5874,1832.0
MJ02.0937-d_Post_g,0937-d_Post_g,743422.0,824.5029,836.0,-161.3921,154248751234.0,88940895015360.0,5.52049894601402e+16,0.54486,0.58941,0.62442,1152.0
MJ02.0938-d_Ant_d,0938-d_Ant_d,1044034.0,797.7116,862.0,-73.0413,198568624981.0,110458504377985.0,6.66041862386549e+16,0.50593,0.54868,0.58303,1752.0
MJ02.0938-d_Post_g,0938-d_Post_g,716830.0,805.3144,817.0,-96.7008,140080752092.0,78574874164584.0,4.74690720140408e+16,0.54108,0.58578,0.62091,1126.0
MJ02.0939-d_Ant_d,0939-d_Ant_d,1082792.0,848.1071,917.0,-28.5781,238217769245.0,141856882761959.0,9.15420124155641e+16,0.5115,0.55386,0.58803,1731.0
MJ02.0939-d_Post_g,0939-d_Post_g,689826.0,757.969,760.0,-146.3195,114838543711.0,59920957637573.0,3.36939105033805e+16,0.53686,0.58273,0.61857,1157.0
