name,sex,genotype,area,ellipse_axe_1_length,max_axe_1_length,deviation_max_axe_1_from_center,axe_1_moment_2,axe_1_moment_3,axe_1_moment_4,std_axe_1_moment_2,std_axe_1_moment_3,std_axe_1_moment_4
0961-d_Post_g,F,a-s,668100.0,1167.234,1160.0,0.48277,288350168089.0,236890289600353.0,2.08599139320406e+17,0.56635,0.61016,0.64441
0962-d_Ant_g,M,e-s,1026295.0,1707.6306,1758.0,-112.4682,855896984585.0,1007562433587420.0,1.28687590175641e+18,0.51946,0.56535,0.60193
0962-d_Post_d,M,e-s,683169.0,1113.1893,1100.0,-8.3008,264395749989.0,206010260991595.0,1.72025069657832e+17,0.56555,0.60962,0.64398
0971-d_Ant_g,F,a-s,952032.0,1634.4409,1683.0,-100.0919,727705220204.0,821933347126484.0,1.00905211956578e+18,0.51948,0.56578,0.60288
0971-d_Post_d,F,a-s,611415.0,1110.9766,1088.0,-27.1581,240370155960.0,188096883458094.0,1.5758728560304e+17,0.57629,0.62047,0.65489
0972-d_Ant_g,F,e-s,1032066.0,1696.3528,1747.0,-146.6818,832265944700.0,970796907552670.0,1.23230324648763e+18,0.51403,0.56085,0.59836
0972-d_Post_g,F,e-s,667132.0,1129.8079,1105.0,-44.7081,269793974473.0,214264173084503.0,1.82185649318219e+17,0.5755,0.61975,0.6542
0973-d_Ant_d,M,a-s,1111560.0,1749.397,1793.0,105.6935,1257578453642.0,1614181008171890.0,2.20041564215105e+18,0.59323,0.63158,0.66155
0973-d_Post_d,M,a-s,755244.0,1174.3056,1171.0,-20.7682,332328676685.0,275001737054155.0,2.43788878021834e+17,0.56648,0.60981,0.64369
0974-d_Ant_g,M,a-e,1094780.0,1760.3386,1795.0,-82.2323,960935493237.0,1164491782519260.0,1.53281900812196e+18,0.52194,0.56869,0.60601
0974-d_Post_d,M,a-e,767899.0,1179.4955,1167.0,-4.9277,331170454925.0,272378194931241.0,2.39879895902788e+17,0.56273,0.60658,0.64062
0981-d_Ant_g,M,s-s,1058762.0,1744.8289,1786.0,-53.0684,934163153858.0,1125648707503250.0,1.46868066099983e+18,0.52593,0.57146,0.60765
0981-d_Post_d,M,s-s,686771.0,1116.6119,1122.0,-3.2036,270564407624.0,212460059104188.0,1.78937380198419e+17,0.55942,0.60278,0.63677
0982-d_Ant_g,M,a-s,1005805.0,1671.659,1709.0,-91.4615,816615087240.0,944292163039436.0,1.18308000511132e+18,0.52724,0.57296,0.60937
0982-d_Post_g,M,a-s,683937.0,1118.4368,1099.0,-44.3341,272088115563.0,214207382235711.0,1.8060129297239e+17,0.57392,0.61793,0.65227
0988-d_Ant_g,F,s-s,1057262.0,1745.0493,1813.0,-103.5839,924980611120.0,1115605010912610.0,1.46153151479748e+18,0.51591,0.56154,0.59808
0988-d_Post_g,F,s-s,648739.0,1157.9001,1144.0,14.7757,275003933907.0,223559768853415.0,1.94496206603603e+17,0.56913,0.61284,0.64682
0989-d_Ant_g,F,e-s,931890.0,1637.9986,1678.0,-67.3938,696234522137.0,783163381638601.0,9.59152651854463e+17,0.51511,0.56239,0.60026
0989-d_Post_g,F,e-s,580403.0,1070.9037,1052.0,15.7501,205488776474.0,153698254861846.0,1.23318797039813e+17,0.56561,0.61042,0.64537
