,harvestTime,BikeID,by_hour,battery,EBikeState,EBikeStateID,battery_status,battery_status_id
229,2021-04-30 00:15:02,43,0,81,Normal,2,PERFECT,0
230,2021-04-30 00:15:02,44,0,0,Normal,2,DEAD,3
231,2021-04-30 00:15:02,45,0,80,Normal,2,PERFECT,0
232,2021-04-30 00:15:02,48,0,80,Normal,2,PERFECT,0
233,2021-04-30 00:15:02,50,0,41,Normal,2,GOOD,1
234,2021-04-30 00:15:02,52,0,64,Normal,2,PERFECT,0
235,2021-04-30 00:15:02,53,0,47,Normal,2,GOOD,1
236,2021-04-30 00:15:02,55,0,53,Normal,2,GOOD,1
237,2021-04-30 00:15:02,56,0,66,Normal,2,PERFECT,0
238,2021-04-30 00:15:02,59,0,40,Normal,2,GOOD,1
239,2021-04-30 00:15:02,60,0,30,Normal,2,GOOD,1
240,2021-04-30 00:15:02,61,0,33,Normal,2,GOOD,1
241,2021-04-30 00:15:02,63,0,37,Normal,2,GOOD,1
242,2021-04-30 00:15:02,66,0,63,Normal,2,PERFECT,0
243,2021-04-30 00:15:02,69,0,48,Normal,2,GOOD,1
244,2021-04-30 00:15:02,71,0,36,Normal,2,GOOD,1
245,2021-04-30 00:15:02,73,0,57,Normal,2,GOOD,1
246,2021-04-30 00:15:02,74,0,75,Normal,2,PERFECT,0
247,2021-04-30 00:15:02,75,0,67,Normal,2,PERFECT,0
248,2021-04-30 00:15:02,76,0,77,Normal,2,PERFECT,0
249,2021-04-30 00:15:02,80,0,74,Normal,2,PERFECT,0
250,2021-04-30 00:15:02,82,0,78,Normal,2,PERFECT,0
251,2021-04-30 00:15:02,83,0,48,Normal,2,GOOD,1
252,2021-04-30 00:15:02,85,0,67,Normal,2,PERFECT,0
253,2021-04-30 00:15:02,86,0,86,Normal,2,PERFECT,0
254,2021-04-30 00:15:02,87,0,43,Normal,2,GOOD,1
255,2021-04-30 00:15:02,90,0,45,Normal,2,GOOD,1
256,2021-04-30 00:15:02,92,0,80,Normal,2,PERFECT,0
257,2021-04-30 00:15:02,93,0,93,Normal,2,PERFECT,0
258,2021-04-30 00:15:02,94,0,66,Normal,2,PERFECT,0
259,2021-04-30 00:15:02,95,0,45,Normal,2,GOOD,1
260,2021-04-30 00:15:02,96,0,70,Normal,2,PERFECT,0
261,2021-04-30 00:15:02,99,0,47,Normal,2,GOOD,1
262,2021-04-30 00:15:02,102,0,87,Normal,2,PERFECT,0
263,2021-04-30 00:15:02,103,0,65,Normal,2,PERFECT,0
264,2021-04-30 00:15:02,104,0,81,Normal,2,PERFECT,0
265,2021-04-30 00:15:02,106,0,80,Normal,2,PERFECT,0
266,2021-04-30 00:15:02,111,0,68,Normal,2,PERFECT,0
267,2021-04-30 00:15:02,114,0,80,Normal,2,PERFECT,0
268,2021-04-30 00:15:02,116,0,44,Normal,2,GOOD,1
269,2021-04-30 00:15:02,117,0,41,Normal,2,GOOD,1
270,2021-04-30 00:15:02,120,0,47,Normal,2,GOOD,1
271,2021-04-30 00:15:02,124,0,77,Laying on the ground,5,PERFECT,0
272,2021-04-30 00:20:02,5,0,70,Normal,2,PERFECT,0
273,2021-04-30 00:20:02,6,0,62,Normal,2,PERFECT,0
274,2021-04-30 00:20:02,7,0,66,Normal,2,PERFECT,0
275,2021-04-30 00:20:02,8,0,68,Normal,2,PERFECT,0
276,2021-04-30 00:20:02,9,0,75,Normal,2,PERFECT,0
277,2021-04-30 00:20:02,10,0,72,Normal,2,PERFECT,0
278,2021-04-30 00:20:02,12,0,65,Normal,2,PERFECT,0
279,2021-04-30 00:20:02,13,0,77,Normal,2,PERFECT,0
280,2021-04-30 00:20:02,14,0,46,Normal,2,GOOD,1
281,2021-04-30 00:20:02,16,0,0,Normal,2,DEAD,3
282,2021-04-30 00:20:02,17,0,48,Normal,2,GOOD,1
283,2021-04-30 00:20:02,18,0,47,Normal,2,GOOD,1
284,2021-04-30 00:20:02,19,0,80,Normal,2,PERFECT,0
285,2021-04-30 00:20:02,20,0,76,Normal,2,PERFECT,0
286,2021-04-30 00:20:02,21,0,77,Normal,2,PERFECT,0
287,2021-04-30 00:20:02,22,0,67,Normal,2,PERFECT,0
288,2021-04-30 00:20:02,25,0,0,Normal,2,DEAD,3
289,2021-04-30 00:20:02,26,0,88,Normal,2,PERFECT,0
290,2021-04-30 00:20:02,27,0,53,Normal,2,GOOD,1
291,2021-04-30 00:20:02,30,0,67,Normal,2,PERFECT,0
292,2021-04-30 00:20:02,31,0,42,Normal,2,GOOD,1
293,2021-04-30 00:20:02,33,0,60,Normal,2,GOOD,1
294,2021-04-30 00:20:02,35,0,47,Normal,2,GOOD,1
295,2021-04-30 00:20:02,41,0,82,Normal,2,PERFECT,0
296,2021-04-30 00:20:02,42,0,77,Normal,2,PERFECT,0
297,2021-04-30 00:20:02,43,0,81,Normal,2,PERFECT,0
298,2021-04-30 00:20:02,44,0,0,Normal,2,DEAD,3
299,2021-04-30 00:20:02,45,0,80,Normal,2,PERFECT,0
300,2021-04-30 00:20:02,48,0,80,Normal,2,PERFECT,0
301,2021-04-30 00:20:02,50,0,41,Normal,2,GOOD,1
302,2021-04-30 00:20:02,52,0,64,Normal,2,PERFECT,0
303,2021-04-30 00:20:02,53,0,47,Normal,2,GOOD,1
304,2021-04-30 00:20:02,55,0,53,Normal,2,GOOD,1
305,2021-04-30 00:20:02,56,0,66,Normal,2,PERFECT,0
306,2021-04-30 00:20:02,59,0,40,Normal,2,GOOD,1
307,2021-04-30 00:20:02,60,0,30,Normal,2,GOOD,1
308,2021-04-30 00:20:02,61,0,33,Normal,2,GOOD,1
309,2021-04-30 00:20:02,63,0,37,Normal,2,GOOD,1
310,2021-04-30 00:20:02,66,0,63,Normal,2,PERFECT,0
311,2021-04-30 00:20:02,69,0,48,Normal,2,GOOD,1
312,2021-04-30 00:20:02,71,0,36,Normal,2,GOOD,1
313,2021-04-30 00:20:02,73,0,57,Normal,2,GOOD,1
