,bikeid,HarvestTime,id,name,max,min,bikeid,battery,ebikestateid,name
118,87,2021-04-30 00:05:02,2,Good,59,20,87,43,2,Normal
119,90,2021-04-30 00:05:02,2,Good,59,20,90,45,2,Normal
120,92,2021-04-30 00:05:02,1,Perfect,100,60,92,80,2,Normal
121,93,2021-04-30 00:05:02,1,Perfect,100,60,93,93,2,Normal
122,94,2021-04-30 00:05:02,1,Perfect,100,60,94,66,2,Normal
123,95,2021-04-30 00:05:02,2,Good,59,20,95,45,2,Normal
124,96,2021-04-30 00:05:02,1,Perfect,100,60,96,70,2,Normal
125,99,2021-04-30 00:05:02,2,Good,59,20,99,47,2,Normal
126,102,2021-04-30 00:05:02,1,Perfect,100,60,102,87,2,Normal
127,103,2021-04-30 00:05:02,1,Perfect,100,60,103,65,2,Normal
128,104,2021-04-30 00:05:02,1,Perfect,100,60,104,81,2,Normal
129,106,2021-04-30 00:05:02,1,Perfect,100,60,106,80,2,Normal
130,111,2021-04-30 00:05:02,1,Perfect,100,60,111,68,2,Normal
131,114,2021-04-30 00:05:02,1,Perfect,100,60,114,80,2,Normal
132,116,2021-04-30 00:05:02,2,Good,59,20,116,44,2,Normal
133,117,2021-04-30 00:05:02,2,Good,59,20,117,41,2,Normal
134,120,2021-04-30 00:05:02,2,Good,59,20,120,47,2,Normal
135,124,2021-04-30 00:05:02,1,Perfect,100,60,124,77,5,Laying on the ground
136,5,2021-04-30 00:10:02,1,Perfect,100,60,5,70,2,Normal
137,6,2021-04-30 00:10:02,1,Perfect,100,60,6,62,2,Normal
138,7,2021-04-30 00:10:02,1,Perfect,100,60,7,66,2,Normal
139,8,2021-04-30 00:10:02,1,Perfect,100,60,8,70,2,Normal
140,9,2021-04-30 00:10:02,1,Perfect,100,60,9,75,2,Normal
141,10,2021-04-30 00:10:02,1,Perfect,100,60,10,72,2,Normal
142,12,2021-04-30 00:10:02,1,Perfect,100,60,12,65,2,Normal
143,13,2021-04-30 00:10:02,1,Perfect,100,60,13,77,2,Normal
144,14,2021-04-30 00:10:02,2,Good,59,20,14,46,2,Normal
145,16,2021-04-30 00:10:02,4,Dead,0,0,16,0,2,Normal
146,17,2021-04-30 00:10:02,2,Good,59,20,17,48,2,Normal
147,18,2021-04-30 00:10:02,2,Good,59,20,18,47,2,Normal
148,19,2021-04-30 00:10:02,1,Perfect,100,60,19,80,2,Normal
149,20,2021-04-30 00:10:02,1,Perfect,100,60,20,76,2,Normal
150,21,2021-04-30 00:10:02,1,Perfect,100,60,21,77,2,Normal
151,22,2021-04-30 00:10:02,1,Perfect,100,60,22,67,2,Normal
152,25,2021-04-30 00:10:02,4,Dead,0,0,25,0,2,Normal
153,26,2021-04-30 00:10:02,1,Perfect,100,60,26,88,2,Normal
154,27,2021-04-30 00:10:02,2,Good,59,20,27,53,2,Normal
155,30,2021-04-30 00:10:02,1,Perfect,100,60,30,67,2,Normal
156,31,2021-04-30 00:10:02,2,Good,59,20,31,42,2,Normal
157,33,2021-04-30 00:10:02,1,Perfect,100,60,33,60,2,Normal
158,35,2021-04-30 00:10:02,2,Good,59,20,35,47,2,Normal
159,41,2021-04-30 00:10:02,1,Perfect,100,60,41,82,2,Normal
160,42,2021-04-30 00:10:02,1,Perfect,100,60,42,77,2,Normal
161,43,2021-04-30 00:10:02,1,Perfect,100,60,43,81,2,Normal
162,44,2021-04-30 00:10:02,4,Dead,0,0,44,0,2,Normal
163,45,2021-04-30 00:10:02,1,Perfect,100,60,45,80,2,Normal
164,48,2021-04-30 00:10:02,1,Perfect,100,60,48,80,2,Normal
165,50,2021-04-30 00:10:02,2,Good,59,20,50,41,2,Normal
166,52,2021-04-30 00:10:02,1,Perfect,100,60,52,64,2,Normal
167,53,2021-04-30 00:10:02,2,Good,59,20,53,47,2,Normal
168,55,2021-04-30 00:10:02,2,Good,59,20,55,53,2,Normal
169,56,2021-04-30 00:10:02,1,Perfect,100,60,56,66,2,Normal
170,59,2021-04-30 00:10:02,2,Good,59,20,59,40,2,Normal
171,60,2021-04-30 00:10:02,2,Good,59,20,60,30,2,Normal
172,61,2021-04-30 00:10:02,2,Good,59,20,61,33,2,Normal
173,63,2021-04-30 00:10:02,2,Good,59,20,63,37,2,Normal
174,66,2021-04-30 00:10:02,1,Perfect,100,60,66,63,2,Normal
175,69,2021-04-30 00:10:02,2,Good,59,20,69,48,2,Normal
176,71,2021-04-30 00:10:02,2,Good,59,20,71,36,2,Normal
177,73,2021-04-30 00:10:02,2,Good,59,20,73,57,2,Normal
178,74,2021-04-30 00:10:02,1,Perfect,100,60,74,75,2,Normal
179,75,2021-04-30 00:10:02,1,Perfect,100,60,75,67,2,Normal
180,76,2021-04-30 00:10:02,1,Perfect,100,60,76,77,2,Normal
181,80,2021-04-30 00:10:02,1,Perfect,100,60,80,74,2,Normal
182,82,2021-04-30 00:10:02,1,Perfect,100,60,82,78,2,Normal
183,83,2021-04-30 00:10:02,2,Good,59,20,83,48,2,Normal
184,85,2021-04-30 00:10:02,1,Perfect,100,60,85,67,2,Normal
185,86,2021-04-30 00:10:02,1,Perfect,100,60,86,86,2,Normal
186,87,2021-04-30 00:10:02,2,Good,59,20,87,43,2,Normal
187,90,2021-04-30 00:10:02,2,Good,59,20,90,45,2,Normal
188,92,2021-04-30 00:10:02,1,Perfect,100,60,92,80,2,Normal
189,93,2021-04-30 00:10:02,1,Perfect,100,60,93,93,2,Normal
190,94,2021-04-30 00:10:02,1,Perfect,100,60,94,66,2,Normal
191,95,2021-04-30 00:10:02,2,Good,59,20,95,45,2,Normal
192,96,2021-04-30 00:10:02,1,Perfect,100,60,96,70,2,Normal
193,99,2021-04-30 00:10:02,2,Good,59,20,99,47,2,Normal
194,102,2021-04-30 00:10:02,1,Perfect,100,60,102,87,2,Normal
