"Statistic","Year","County and Region","UNIT","VALUE"
"Total Household Income","2002","Offaly","Euro Million","1146"
"Total Household Income","2002","Westmeath","Euro Million","1413"
"Total Household Income","2003","State","Euro Million","86748"
"Total Household Income","2003","Northern and Western","Euro Million","13553"
"Total Household Income","2003","Border","Euro Million","5989"
"Total Household Income","2003","Leitrim","Euro Million","490"
"Total Household Income","2003","Sligo","Euro Million","1171"
"Total Household Income","2003","Cavan","Euro Million","1071"
"Total Household Income","2003","Donegal","Euro Million","2263"
"Total Household Income","2003","Monaghan","Euro Million","993"
"Total Household Income","2003","West","Euro Million","7564"
"Total Household Income","2003","Galway","Euro Million","4272"
"Total Household Income","2003","Mayo","Euro Million","2250"
"Total Household Income","2003","Roscommon","Euro Million","1042"
"Total Household Income","2003","Southern","Euro Million","27504"
"Total Household Income","2003","Mid-West","Euro Million","8612"
"Total Household Income","2003","Clare","Euro Million","2079"
"Total Household Income","2003","Limerick","Euro Million","3719"
"Total Household Income","2003","Tipperary","Euro Million","2814"
"Total Household Income","2003","South-East","Euro Million","6870"
"Total Household Income","2003","Carlow","Euro Million","865"
"Total Household Income","2003","Kilkenny","Euro Million","1538"
"Total Household Income","2003","Wexford","Euro Million","2277"
"Total Household Income","2003","Waterford","Euro Million","2189"
"Total Household Income","2003","South-West","Euro Million","12023"
"Total Household Income","2003","Cork","Euro Million","9622"
"Total Household Income","2003","Kerry","Euro Million","2401"
"Total Household Income","2003","Eastern and Midland","Euro Million","45691"
"Total Household Income","2003","Dublin","Euro Million","28996"
"Total Household Income","2003","Mid-East","Euro Million","11991"
"Total Household Income","2003","Kildare","Euro Million","4014"
"Total Household Income","2003","Louth","Euro Million","2276"
"Total Household Income","2003","Meath","Euro Million","3046"
"Total Household Income","2003","Wicklow","Euro Million","2656"
"Total Household Income","2003","Midland","Euro Million","4704"
"Total Household Income","2003","Laois","Euro Million","1210"
"Total Household Income","2003","Longford","Euro Million","631"
"Total Household Income","2003","Offaly","Euro Million","1283"
"Total Household Income","2003","Westmeath","Euro Million","1580"
"Total Household Income","2004","State","Euro Million","94067"
"Total Household Income","2004","Northern and Western","Euro Million","15007"
"Total Household Income","2004","Border","Euro Million","6675"
"Total Household Income","2004","Leitrim","Euro Million","557"
"Total Household Income","2004","Sligo","Euro Million","1298"
"Total Household Income","2004","Cavan","Euro Million","1207"
"Total Household Income","2004","Donegal","Euro Million","2489"
"Total Household Income","2004","Monaghan","Euro Million","1124"
"Total Household Income","2004","West","Euro Million","8331"
"Total Household Income","2004","Galway","Euro Million","4734"
"Total Household Income","2004","Mayo","Euro Million","2452"
"Total Household Income","2004","Roscommon","Euro Million","1145"
"Total Household Income","2004","Southern","Euro Million","29796"
"Total Household Income","2004","Mid-West","Euro Million","9231"
"Total Household Income","2004","Clare","Euro Million","2230"
"Total Household Income","2004","Limerick","Euro Million","3964"
"Total Household Income","2004","Tipperary","Euro Million","3038"
"Total Household Income","2004","South-East","Euro Million","7482"
"Total Household Income","2004","Carlow","Euro Million","953"
"Total Household Income","2004","Kilkenny","Euro Million","1660"
"Total Household Income","2004","Wexford","Euro Million","2489"
"Total Household Income","2004","Waterford","Euro Million","2380"
"Total Household Income","2004","South-West","Euro Million","13083"
"Total Household Income","2004","Cork","Euro Million","10485"
"Total Household Income","2004","Kerry","Euro Million","2598"
"Total Household Income","2004","Eastern and Midland","Euro Million","49265"
"Total Household Income","2004","Dublin","Euro Million","30914"
"Total Household Income","2004","Mid-East","Euro Million","13254"
"Total Household Income","2004","Kildare","Euro Million","4455"
"Total Household Income","2004","Louth","Euro Million","2432"
"Total Household Income","2004","Meath","Euro Million","3456"
"Total Household Income","2004","Wicklow","Euro Million","2911"
"Total Household Income","2004","Midland","Euro Million","5097"
"Total Household Income","2004","Laois","Euro Million","1344"
"Total Household Income","2004","Longford","Euro Million","685"
"Total Household Income","2004","Offaly","Euro Million","1403"
"Total Household Income","2004","Westmeath","Euro Million","1665"
"Total Household Income","2005","State","Euro Million","102955"
"Total Household Income","2005","Northern and Western","Euro Million","16348"
"Total Household Income","2005","Border","Euro Million","7236"
"Total Household Income","2005","Leitrim","Euro Million","616"
"Total Household Income","2005","Sligo","Euro Million","1390"
"Total Household Income","2005","Cavan","Euro Million","1346"
"Total Household Income","2005","Donegal","Euro Million","2653"
"Total Household Income","2005","Monaghan","Euro Million","1230"
"Total Household Income","2005","West","Euro Million","9112"
"Total Household Income","2005","Galway","Euro Million","5168"
"Total Household Income","2005","Mayo","Euro Million","2656"
"Total Household Income","2005","Roscommon","Euro Million","1288"
"Total Household Income","2005","Southern","Euro Million","32771"
"Total Household Income","2005","Mid-West","Euro Million","10141"
"Total Household Income","2005","Clare","Euro Million","2476"
"Total Household Income","2005","Limerick","Euro Million","4334"
"Total Household Income","2005","Tipperary","Euro Million","3331"
"Total Household Income","2005","South-East","Euro Million","8199"
"Total Household Income","2005","Carlow","Euro Million","1050"
"Total Household Income","2005","Kilkenny","Euro Million","1834"
"Total Household Income","2005","Wexford","Euro Million","2764"
"Total Household Income","2005","Waterford","Euro Million","2551"
"Total Household Income","2005","South-West","Euro Million","14432"
"Total Household Income","2005","Cork","Euro Million","11592"
"Total Household Income","2005","Kerry","Euro Million","2840"
"Total Household Income","2005","Eastern and Midland","Euro Million","53836"
"Total Household Income","2005","Dublin","Euro Million","33599"
"Total Household Income","2005","Mid-East","Euro Million","14678"
"Total Household Income","2005","Kildare","Euro Million","4910"
"Total Household Income","2005","Louth","Euro Million","2657"
"Total Household Income","2005","Meath","Euro Million","3954"
"Total Household Income","2005","Wicklow","Euro Million","3157"
"Total Household Income","2005","Midland","Euro Million","5559"
"Total Household Income","2005","Laois","Euro Million","1458"
"Total Household Income","2005","Longford","Euro Million","756"
"Total Household Income","2005","Offaly","Euro Million","1545"
"Total Household Income","2005","Westmeath","Euro Million","1799"
"Total Household Income","2006","State","Euro Million","111172"
"Total Household Income","2006","Northern and Western","Euro Million","17458"
"Total Household Income","2006","Border","Euro Million","7760"
"Total Household Income","2006","Leitrim","Euro Million","664"
"Total Household Income","2006","Sligo","Euro Million","1474"
"Total Household Income","2006","Cavan","Euro Million","1450"
"Total Household Income","2006","Donegal","Euro Million","2895"
"Total Household Income","2006","Monaghan","Euro Million","1278"
"Total Household Income","2006","West","Euro Million","9698"
"Total Household Income","2006","Galway","Euro Million","5581"
"Total Household Income","2006","Mayo","Euro Million","2754"
"Total Household Income","2006","Roscommon","Euro Million","1363"
"Total Household Income","2006","Southern","Euro Million","35438"
"Total Household Income","2006","Mid-West","Euro Million","10975"
"Total Household Income","2006","Clare","Euro Million","2646"
"Total Household Income","2006","Limerick","Euro Million","4665"
"Total Household Income","2006","Tipperary","Euro Million","3664"
"Total Household Income","2006","South-East","Euro Million","9020"
"Total Household Income","2006","Carlow","Euro Million","1163"
"Total Household Income","2006","Kilkenny","Euro Million","2075"
"Total Household Income","2006","Wexford","Euro Million","3090"
"Total Household Income","2006","Waterford","Euro Million","2692"
"Total Household Income","2006","South-West","Euro Million","15444"
"Total Household Income","2006","Cork","Euro Million","12387"
"Total Household Income","2006","Kerry","Euro Million","3057"
"Total Household Income","2006","Eastern and Midland","Euro Million","58275"
"Total Household Income","2006","Dublin","Euro Million","36091"
"Total Household Income","2006","Mid-East","Euro Million","16196"
"Total Household Income","2006","Kildare","Euro Million","5476"
"Total Household Income","2006","Louth","Euro Million","2793"
"Total Household Income","2006","Meath","Euro Million","4498"
"Total Household Income","2006","Wicklow","Euro Million","3429"
"Total Household Income","2006","Midland","Euro Million","5989"
"Total Household Income","2006","Laois","Euro Million","1603"
"Total Household Income","2006","Longford","Euro Million","814"
"Total Household Income","2006","Offaly","Euro Million","1671"
"Total Household Income","2006","Westmeath","Euro Million","1901"
"Total Household Income","2007","State","Euro Million","121233"
"Total Household Income","2007","Northern and Western","Euro Million","18924"
"Total Household Income","2007","Border","Euro Million","8487"
"Total Household Income","2007","Leitrim","Euro Million","719"
"Total Household Income","2007","Sligo","Euro Million","1612"
"Total Household Income","2007","Cavan","Euro Million","1625"
"Total Household Income","2007","Donegal","Euro Million","3142"
"Total Household Income","2007","Monaghan","Euro Million","1389"
"Total Household Income","2007","West","Euro Million","10437"
"Total Household Income","2007","Galway","Euro Million","6051"
"Total Household Income","2007","Mayo","Euro Million","2953"
"Total Household Income","2007","Roscommon","Euro Million","1433"
"Total Household Income","2007","Southern","Euro Million","38695"
"Total Household Income","2007","Mid-West","Euro Million","11891"
"Total Household Income","2007","Clare","Euro Million","2891"
"Total Household Income","2007","Limerick","Euro Million","5006"
"Total Household Income","2007","Tipperary","Euro Million","3994"
"Total Household Income","2007","South-East","Euro Million","10087"
"Total Household Income","2007","Carlow","Euro Million","1298"
"Total Household Income","2007","Kilkenny","Euro Million","2308"
"Total Household Income","2007","Wexford","Euro Million","3490"
"Total Household Income","2007","Waterford","Euro Million","2991"
"Total Household Income","2007","South-West","Euro Million","16716"
"Total Household Income","2007","Cork","Euro Million","13425"
"Total Household Income","2007","Kerry","Euro Million","3291"
"Total Household Income","2007","Eastern and Midland","Euro Million","63614"
"Total Household Income","2007","Dublin","Euro Million","39503"
"Total Household Income","2007","Mid-East","Euro Million","17649"
"Total Household Income","2007","Kildare","Euro Million","5915"
"Total Household Income","2007","Louth","Euro Million","3060"
"Total Household Income","2007","Meath","Euro Million","4921"
"Total Household Income","2007","Wicklow","Euro Million","3753"
"Total Household Income","2007","Midland","Euro Million","6462"
"Total Household Income","2007","Laois","Euro Million","1754"
"Total Household Income","2007","Longford","Euro Million","876"
"Total Household Income","2007","Offaly","Euro Million","1767"
"Total Household Income","2007","Westmeath","Euro Million","2065"
"Total Household Income","2008","State","Euro Million","127303"
"Total Household Income","2008","Northern and Western","Euro Million","20136"
"Total Household Income","2008","Border","Euro Million","8959"
"Total Household Income","2008","Leitrim","Euro Million","779"
"Total Household Income","2008","Sligo","Euro Million","1682"
"Total Household Income","2008","Cavan","Euro Million","1686"
"Total Household Income","2008","Donegal","Euro Million","3379"
"Total Household Income","2008","Monaghan","Euro Million","1433"
"Total Household Income","2008","West","Euro Million","11177"
"Total Household Income","2008","Galway","Euro Million","6482"
"Total Household Income","2008","Mayo","Euro Million","3167"
"Total Household Income","2008","Roscommon","Euro Million","1528"
"Total Household Income","2008","Southern","Euro Million","40516"
"Total Household Income","2008","Mid-West","Euro Million","12255"
"Total Household Income","2008","Clare","Euro Million","3066"
"Total Household Income","2008","Limerick","Euro Million","5171"
"Total Household Income","2008","Tipperary","Euro Million","4018"
"Total Household Income","2008","South-East","Euro Million","10625"
"Total Household Income","2008","Carlow","Euro Million","1374"
"Total Household Income","2008","Kilkenny","Euro Million","2463"
"Total Household Income","2008","Wexford","Euro Million","3687"
"Total Household Income","2008","Waterford","Euro Million","3102"
"Total Household Income","2008","South-West","Euro Million","17636"
"Total Household Income","2008","Cork","Euro Million","14156"
"Total Household Income","2008","Kerry","Euro Million","3480"
"Total Household Income","2008","Eastern and Midland","Euro Million","66652"
"Total Household Income","2008","Dublin","Euro Million","41274"
"Total Household Income","2008","Mid-East","Euro Million","18575"
"Total Household Income","2008","Kildare","Euro Million","6232"
"Total Household Income","2008","Louth","Euro Million","3227"
"Total Household Income","2008","Meath","Euro Million","5196"
"Total Household Income","2008","Wicklow","Euro Million","3920"
"Total Household Income","2008","Midland","Euro Million","6802"
"Total Household Income","2008","Laois","Euro Million","1872"
"Total Household Income","2008","Longford","Euro Million","930"
"Total Household Income","2008","Offaly","Euro Million","1840"
"Total Household Income","2008","Westmeath","Euro Million","2159"
"Total Household Income","2009","State","Euro Million","119124"
"Total Household Income","2009","Northern and Western","Euro Million","19214"
"Total Household Income","2009","Border","Euro Million","8563"
"Total Household Income","2009","Leitrim","Euro Million","745"
"Total Household Income","2009","Sligo","Euro Million","1623"
"Total Household Income","2009","Cavan","Euro Million","1605"
"Total Household Income","2009","Donegal","Euro Million","3281"
"Total Household Income","2009","Monaghan","Euro Million","1309"
"Total Household Income","2009","West","Euro Million","10651"
"Total Household Income","2009","Galway","Euro Million","6147"
"Total Household Income","2009","Mayo","Euro Million","3058"
"Total Household Income","2009","Roscommon","Euro Million","1445"
"Total Household Income","2009","Southern","Euro Million","37961"
"Total Household Income","2009","Mid-West","Euro Million","11553"
"Total Household Income","2009","Clare","Euro Million","2821"
"Total Household Income","2009","Limerick","Euro Million","4874"
"Total Household Income","2009","Tipperary","Euro Million","3858"
"Total Household Income","2009","South-East","Euro Million","9802"
"Total Household Income","2009","Carlow","Euro Million","1285"
"Total Household Income","2009","Kilkenny","Euro Million","2268"
"Total Household Income","2009","Wexford","Euro Million","3387"
"Total Household Income","2009","Waterford","Euro Million","2861"
"Total Household Income","2009","South-West","Euro Million","16607"
"Total Household Income","2009","Cork","Euro Million","13301"
"Total Household Income","2009","Kerry","Euro Million","3306"
"Total Household Income","2009","Eastern and Midland","Euro Million","61949"
"Total Household Income","2009","Dublin","Euro Million","38252"
"Total Household Income","2009","Mid-East","Euro Million","17314"
"Total Household Income","2009","Kildare","Euro Million","5819"
"Total Household Income","2009","Louth","Euro Million","3070"
"Total Household Income","2009","Meath","Euro Million","4758"
"Total Household Income","2009","Wicklow","Euro Million","3668"
"Total Household Income","2009","Midland","Euro Million","6383"
"Total Household Income","2009","Laois","Euro Million","1765"
"Total Household Income","2009","Longford","Euro Million","866"
"Total Household Income","2009","Offaly","Euro Million","1699"
"Total Household Income","2009","Westmeath","Euro Million","2053"
"Total Household Income","2010","State","Euro Million","114487"
"Total Household Income","2010","Northern and Western","Euro Million","18587"
"Total Household Income","2010","Border","Euro Million","8269"
"Total Household Income","2010","Leitrim","Euro Million","723"
"Total Household Income","2010","Sligo","Euro Million","1567"
"Total Household Income","2010","Cavan","Euro Million","1543"
"Total Household Income","2010","Donegal","Euro Million","3166"
"Total Household Income","2010","Monaghan","Euro Million","1270"
"Total Household Income","2010","West","Euro Million","10317"
"Total Household Income","2010","Galway","Euro Million","5955"
"Total Household Income","2010","Mayo","Euro Million","2973"
"Total Household Income","2010","Roscommon","Euro Million","1390"
"Total Household Income","2010","Southern","Euro Million","36788"
"Total Household Income","2010","Mid-West","Euro Million","11362"
"Total Household Income","2010","Clare","Euro Million","2743"
"Total Household Income","2010","Limerick","Euro Million","4881"
"Total Household Income","2010","Tipperary","Euro Million","3738"
"Total Household Income","2010","South-East","Euro Million","9367"
"Total Household Income","2010","Carlow","Euro Million","1239"
"Total Household Income","2010","Kilkenny","Euro Million","2118"
"Total Household Income","2010","Wexford","Euro Million","3247"
"Total Household Income","2010","Waterford","Euro Million","2763"
"Total Household Income","2010","South-West","Euro Million","16059"
"Total Household Income","2010","Cork","Euro Million","12876"
"Total Household Income","2010","Kerry","Euro Million","3183"
"Total Household Income","2010","Eastern and Midland","Euro Million","59112"
"Total Household Income","2010","Dublin","Euro Million","36527"
"Total Household Income","2010","Mid-East","Euro Million","16437"
"Total Household Income","2010","Kildare","Euro Million","5495"
"Total Household Income","2010","Louth","Euro Million","2861"
"Total Household Income","2010","Meath","Euro Million","4533"
"Total Household Income","2010","Wicklow","Euro Million","3547"
"Total Household Income","2010","Midland","Euro Million","6148"
"Total Household Income","2010","Laois","Euro Million","1678"
"Total Household Income","2010","Longford","Euro Million","835"
"Total Household Income","2010","Offaly","Euro Million","1622"
"Total Household Income","2010","Westmeath","Euro Million","2013"
"Total Household Income","2011","State","Euro Million","112416"
"Total Household Income","2011","Northern and Western","Euro Million","17758"
"Total Household Income","2011","Border","Euro Million","7979"
"Total Household Income","2011","Leitrim","Euro Million","705"
"Total Household Income","2011","Sligo","Euro Million","1448"
"Total Household Income","2011","Cavan","Euro Million","1520"
"Total Household Income","2011","Donegal","Euro Million","3043"
"Total Household Income","2011","Monaghan","Euro Million","1264"
"Total Household Income","2011","West","Euro Million","9778"
"Total Household Income","2011","Galway","Euro Million","5664"
"Total Household Income","2011","Mayo","Euro Million","2775"
"Total Household Income","2011","Roscommon","Euro Million","1340"
"Total Household Income","2011","Southern","Euro Million","36058"
"Total Household Income","2011","Mid-West","Euro Million","11360"
"Total Household Income","2011","Clare","Euro Million","2601"
"Total Household Income","2011","Limerick","Euro Million","5164"
"Total Household Income","2011","Tipperary","Euro Million","3595"
"Total Household Income","2011","South-East","Euro Million","8956"
"Total Household Income","2011","Carlow","Euro Million","1222"
"Total Household Income","2011","Kilkenny","Euro Million","2065"
"Total Household Income","2011","Wexford","Euro Million","3088"
"Total Household Income","2011","Waterford","Euro Million","2581"
"Total Household Income","2011","South-West","Euro Million","15742"
"Total Household Income","2011","Cork","Euro Million","12694"
"Total Household Income","2011","Kerry","Euro Million","3048"
"Total Household Income","2011","Eastern and Midland","Euro Million","58600"
"Total Household Income","2011","Dublin","Euro Million","36778"
"Total Household Income","2011","Mid-East","Euro Million","15846"
"Total Household Income","2011","Kildare","Euro Million","5313"
"Total Household Income","2011","Louth","Euro Million","2746"
"Total Household Income","2011","Meath","Euro Million","4441"
"Total Household Income","2011","Wicklow","Euro Million","3346"
"Total Household Income","2011","Midland","Euro Million","5976"
"Total Household Income","2011","Laois","Euro Million","1760"
"Total Household Income","2011","Longford","Euro Million","802"
"Total Household Income","2011","Offaly","Euro Million","1541"
"Total Household Income","2011","Westmeath","Euro Million","1873"
"Total Household Income","2012","State","Euro Million","116290"
"Total Household Income","2012","Northern and Western","Euro Million","18204"
"Total Household Income","2012","Border","Euro Million","8042"
"Total Household Income","2012","Leitrim","Euro Million","716"
"Total Household Income","2012","Sligo","Euro Million","1504"
"Total Household Income","2012","Cavan","Euro Million","1554"
"Total Household Income","2012","Donegal","Euro Million","3057"
"Total Household Income","2012","Monaghan","Euro Million","1210"
"Total Household Income","2012","West","Euro Million","10163"
"Total Household Income","2012","Galway","Euro Million","5945"
"Total Household Income","2012","Mayo","Euro Million","2851"
"Total Household Income","2012","Roscommon","Euro Million","1367"
"Total Household Income","2012","Southern","Euro Million","37089"
"Total Household Income","2012","Mid-West","Euro Million","11585"
"Total Household Income","2012","Clare","Euro Million","2683"
"Total Household Income","2012","Limerick","Euro Million","5271"
"Total Household Income","2012","Tipperary","Euro Million","3631"
"Total Household Income","2012","South-East","Euro Million","9216"
"Total Household Income","2012","Carlow","Euro Million","1253"
"Total Household Income","2012","Kilkenny","Euro Million","2128"
"Total Household Income","2012","Wexford","Euro Million","3168"
"Total Household Income","2012","Waterford","Euro Million","2668"
"Total Household Income","2012","South-West","Euro Million","16288"
"Total Household Income","2012","Cork","Euro Million","13116"
"Total Household Income","2012","Kerry","Euro Million","3173"
"Total Household Income","2012","Eastern and Midland","Euro Million","60996"
"Total Household Income","2012","Dublin","Euro Million","38469"
"Total Household Income","2012","Mid-East","Euro Million","16410"
"Total Household Income","2012","Kildare","Euro Million","5522"
"Total Household Income","2012","Louth","Euro Million","2801"
"Total Household Income","2012","Meath","Euro Million","4613"
"Total Household Income","2012","Wicklow","Euro Million","3475"
"Total Household Income","2012","Midland","Euro Million","6116"
"Total Household Income","2012","Laois","Euro Million","1783"
"Total Household Income","2012","Longford","Euro Million","831"
"Total Household Income","2012","Offaly","Euro Million","1575"
"Total Household Income","2012","Westmeath","Euro Million","1927"
"Total Household Income","2013","State","Euro Million","117203"
"Total Household Income","2013","Northern and Western","Euro Million","17965"
"Total Household Income","2013","Border","Euro Million","7999"
"Total Household Income","2013","Leitrim","Euro Million","709"
"Total Household Income","2013","Sligo","Euro Million","1501"
"Total Household Income","2013","Cavan","Euro Million","1561"
"Total Household Income","2013","Donegal","Euro Million","3003"
"Total Household Income","2013","Monaghan","Euro Million","1224"
"Total Household Income","2013","West","Euro Million","9967"
"Total Household Income","2013","Galway","Euro Million","5840"
"Total Household Income","2013","Mayo","Euro Million","2793"
"Total Household Income","2013","Roscommon","Euro Million","1333"
"Total Household Income","2013","Southern","Euro Million","37653"
"Total Household Income","2013","Mid-West","Euro Million","11694"
"Total Household Income","2013","Clare","Euro Million","2634"
"Total Household Income","2013","Limerick","Euro Million","5192"
"Total Household Income","2013","Tipperary","Euro Million","3868"
"Total Household Income","2013","South-East","Euro Million","9463"
"Total Household Income","2013","Carlow","Euro Million","1274"
"Total Household Income","2013","Kilkenny","Euro Million","2252"
"Total Household Income","2013","Wexford","Euro Million","3235"
"Total Household Income","2013","Waterford","Euro Million","2703"
"Total Household Income","2013","South-West","Euro Million","16496"
"Total Household Income","2013","Cork","Euro Million","13382"
"Total Household Income","2013","Kerry","Euro Million","3114"
"Total Household Income","2013","Eastern and Midland","Euro Million","61585"
"Total Household Income","2013","Dublin","Euro Million","39087"
"Total Household Income","2013","Mid-East","Euro Million","16302"
"Total Household Income","2013","Kildare","Euro Million","5488"
"Total Household Income","2013","Louth","Euro Million","2812"
"Total Household Income","2013","Meath","Euro Million","4551"
"Total Household Income","2013","Wicklow","Euro Million","3450"
"Total Household Income","2013","Midland","Euro Million","6196"
"Total Household Income","2013","Laois","Euro Million","1842"
"Total Household Income","2013","Longford","Euro Million","838"
"Total Household Income","2013","Offaly","Euro Million","1596"
"Total Household Income","2013","Westmeath","Euro Million","1920"
"Total Household Income","2014","State","Euro Million","120859"
"Total Household Income","2014","Northern and Western","Euro Million","18401"
"Total Household Income","2014","Border","Euro Million","8175"
"Total Household Income","2014","Leitrim","Euro Million","717"
"Total Household Income","2014","Sligo","Euro Million","1517"
"Total Household Income","2014","Cavan","Euro Million","1614"
"Total Household Income","2014","Donegal","Euro Million","3046"
"Total Household Income","2014","Monaghan","Euro Million","1281"
"Total Household Income","2014","West","Euro Million","10226"
"Total Household Income","2014","Galway","Euro Million","5993"
"Total Household Income","2014","Mayo","Euro Million","2855"
"Total Household Income","2014","Roscommon","Euro Million","1378"
"Total Household Income","2014","Southern","Euro Million","38733"
"Total Household Income","2014","Mid-West","Euro Million","11850"
"Total Household Income","2014","Clare","Euro Million","2700"
"Total Household Income","2014","Limerick","Euro Million","5326"
"Total Household Income","2014","Tipperary","Euro Million","3825"
"Total Household Income","2014","South-East","Euro Million","9958"
"Total Household Income","2014","Carlow","Euro Million","1332"
"Total Household Income","2014","Kilkenny","Euro Million","2331"
"Total Household Income","2014","Wexford","Euro Million","3417"
"Total Household Income","2014","Waterford","Euro Million","2878"
"Total Household Income","2014","South-West","Euro Million","16924"
"Total Household Income","2014","Cork","Euro Million","13663"
"Total Household Income","2014","Kerry","Euro Million","3261"
"Total Household Income","2014","Eastern and Midland","Euro Million","63725"
"Total Household Income","2014","Dublin","Euro Million","40564"
"Total Household Income","2014","Mid-East","Euro Million","16878"
"Total Household Income","2014","Kildare","Euro Million","5693"
"Total Household Income","2014","Louth","Euro Million","2859"
"Total Household Income","2014","Meath","Euro Million","4748"
"Total Household Income","2014","Wicklow","Euro Million","3578"
"Total Household Income","2014","Midland","Euro Million","6283"
"Total Household Income","2014","Laois","Euro Million","1856"
"Total Household Income","2014","Longford","Euro Million","835"
"Total Household Income","2014","Offaly","Euro Million","1628"
"Total Household Income","2014","Westmeath","Euro Million","1964"
"Total Household Income","2015","State","Euro Million","125835"
"Total Household Income","2015","Northern and Western","Euro Million","18927"
"Total Household Income","2015","Border","Euro Million","8509"
"Total Household Income","2015","Leitrim","Euro Million","738"
"Total Household Income","2015","Sligo","Euro Million","1573"
"Total Household Income","2015","Cavan","Euro Million","1693"
"Total Household Income","2015","Donegal","Euro Million","3143"
"Total Household Income","2015","Monaghan","Euro Million","1362"
"Total Household Income","2015","West","Euro Million","10418"
"Total Household Income","2015","Galway","Euro Million","6160"
"Total Household Income","2015","Mayo","Euro Million","2866"
"Total Household Income","2015","Roscommon","Euro Million","1391"
"Total Household Income","2015","Southern","Euro Million","39938"
"Total Household Income","2015","Mid-West","Euro Million","12184"
"Total Household Income","2015","Clare","Euro Million","2792"
"Total Household Income","2015","Limerick","Euro Million","5457"
"Total Household Income","2015","Tipperary","Euro Million","3935"
"Total Household Income","2015","South-East","Euro Million","10470"
"Total Household Income","2015","Carlow","Euro Million","1435"
"Total Household Income","2015","Kilkenny","Euro Million","2459"
"Total Household Income","2015","Wexford","Euro Million","3602"
"Total Household Income","2015","Waterford","Euro Million","2974"
"Total Household Income","2015","South-West","Euro Million","17283"
"Total Household Income","2015","Cork","Euro Million","13916"
"Total Household Income","2015","Kerry","Euro Million","3367"
"Total Household Income","2015","Eastern and Midland","Euro Million","66970"
"Total Household Income","2015","Dublin","Euro Million","42580"
"Total Household Income","2015","Mid-East","Euro Million","17903"
"Total Household Income","2015","Kildare","Euro Million","6072"
"Total Household Income","2015","Louth","Euro Million","2990"
"Total Household Income","2015","Meath","Euro Million","5037"
"Total Household Income","2015","Wicklow","Euro Million","3804"
"Total Household Income","2015","Midland","Euro Million","6486"
"Total Household Income","2015","Laois","Euro Million","1884"
"Total Household Income","2015","Longford","Euro Million","875"
"Total Household Income","2015","Offaly","Euro Million","1678"
"Total Household Income","2015","Westmeath","Euro Million","2050"
"Total Household Income","2016","State","Euro Million","131536"
"Total Household Income","2016","Northern and Western","Euro Million","19551"
"Total Household Income","2016","Border","Euro Million","8596"
"Total Household Income","2016","Leitrim","Euro Million","741"
"Total Household Income","2016","Sligo","Euro Million","1568"
"Total Household Income","2016","Cavan","Euro Million","1725"
"Total Household Income","2016","Donegal","Euro Million","3162"
"Total Household Income","2016","Monaghan","Euro Million","1400"
"Total Household Income","2016","West","Euro Million","10955"
"Total Household Income","2016","Galway","Euro Million","6518"
"Total Household Income","2016","Mayo","Euro Million","2979"
"Total Household Income","2016","Roscommon","Euro Million","1459"
"Total Household Income","2016","Southern","Euro Million","41530"
"Total Household Income","2016","Mid-West","Euro Million","12933"
"Total Household Income","2016","Clare","Euro Million","2961"
"Total Household Income","2016","Limerick","Euro Million","5901"
"Total Household Income","2016","Tipperary","Euro Million","4070"
"Total Household Income","2016","South-East","Euro Million","10334"
"Total Household Income","2016","Carlow","Euro Million","1409"
"Total Household Income","2016","Kilkenny","Euro Million","2436"
"Total Household Income","2016","Wexford","Euro Million","3537"
"Total Household Income","2016","Waterford","Euro Million","2952"
"Total Household Income","2016","South-West","Euro Million","18263"
"Total Household Income","2016","Cork","Euro Million","14688"
"Total Household Income","2016","Kerry","Euro Million","3575"
"Total Household Income","2016","Eastern and Midland","Euro Million","70455"
"Total Household Income","2016","Dublin","Euro Million","44843"
"Total Household Income","2016","Mid-East","Euro Million","18978"
"Total Household Income","2016","Kildare","Euro Million","6539"
"Total Household Income","2016","Louth","Euro Million","3129"
"Total Household Income","2016","Meath","Euro Million","5310"
"Total Household Income","2016","Wicklow","Euro Million","4000"
"Total Household Income","2016","Midland","Euro Million","6634"
"Total Household Income","2016","Laois","Euro Million","1943"
"Total Household Income","2016","Longford","Euro Million","880"
"Total Household Income","2016","Offaly","Euro Million","1715"
"Total Household Income","2016","Westmeath","Euro Million","2097"
"Total Household Income","2017","State","Euro Million","140128"
"Total Household Income","2017","Northern and Western","Euro Million","20713"
"Total Household Income","2017","Border","Euro Million","9178"
"Total Household Income","2017","Leitrim","Euro Million","793"
"Total Household Income","2017","Sligo","Euro Million","1682"
"Total Household Income","2017","Cavan","Euro Million","1829"
"Total Household Income","2017","Donegal","Euro Million","3388"
"Total Household Income","2017","Monaghan","Euro Million","1486"
"Total Household Income","2017","West","Euro Million","11535"
"Total Household Income","2017","Galway","Euro Million","6823"
"Total Household Income","2017","Mayo","Euro Million","3158"
"Total Household Income","2017","Roscommon","Euro Million","1555"
"Total Household Income","2017","Southern","Euro Million","43658"
"Total Household Income","2017","Mid-West","Euro Million","13779"
"Total Household Income","2017","Clare","Euro Million","3164"
"Total Household Income","2017","Limerick","Euro Million","6278"
"Total Household Income","2017","Tipperary","Euro Million","4337"
"Total Household Income","2017","South-East","Euro Million","10636"
"Total Household Income","2017","Carlow","Euro Million","1425"
"Total Household Income","2017","Kilkenny","Euro Million","2525"
