"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2007","Westmeath","State=100","92.4"
"Index of Disposable Income per Person","2008","State","State=100","100"
"Index of Disposable Income per Person","2008","Northern and Western","State=100","91.9"
"Index of Disposable Income per Person","2008","Border","State=100","88.2"
"Index of Disposable Income per Person","2008","Leitrim","State=100","97.6"
"Index of Disposable Income per Person","2008","Sligo","State=100","91.7"
"Index of Disposable Income per Person","2008","Cavan","State=100","95.8"
"Index of Disposable Income per Person","2008","Donegal","State=100","81.7"
"Index of Disposable Income per Person","2008","Monaghan","State=100","88.7"
"Index of Disposable Income per Person","2008","West","State=100","95"
"Index of Disposable Income per Person","2008","Galway","State=100","99.1"
"Index of Disposable Income per Person","2008","Mayo","State=100","88.6"
"Index of Disposable Income per Person","2008","Roscommon","State=100","93.4"
"Index of Disposable Income per Person","2008","Southern","State=100","96.8"
"Index of Disposable Income per Person","2008","Mid-West","State=100","95.8"
"Index of Disposable Income per Person","2008","Clare","State=100","96.7"
"Index of Disposable Income per Person","2008","Limerick","State=100","96.9"
"Index of Disposable Income per Person","2008","Tipperary","State=100","93.8"
"Index of Disposable Income per Person","2008","South-East","State=100","97.9"
"Index of Disposable Income per Person","2008","Carlow","State=100","95.8"
"Index of Disposable Income per Person","2008","Kilkenny","State=100","95.6"
"Index of Disposable Income per Person","2008","Wexford","State=100","101.4"
"Index of Disposable Income per Person","2008","Waterford","State=100","96.6"
"Index of Disposable Income per Person","2008","South-West","State=100","96.9"
"Index of Disposable Income per Person","2008","Cork","State=100","99.8"
"Index of Disposable Income per Person","2008","Kerry","State=100","87"
"Index of Disposable Income per Person","2008","Eastern and Midland","State=100","105.3"
"Index of Disposable Income per Person","2008","Dublin","State=100","109.7"
"Index of Disposable Income per Person","2008","Mid-East","State=100","102.3"
"Index of Disposable Income per Person","2008","Kildare","State=100","104.2"
"Index of Disposable Income per Person","2008","Louth","State=100","102"
"Index of Disposable Income per Person","2008","Meath","State=100","106.6"
"Index of Disposable Income per Person","2008","Wicklow","State=100","94.7"
"Index of Disposable Income per Person","2008","Midland","State=100","91.9"
"Index of Disposable Income per Person","2008","Laois","State=100","95"
"Index of Disposable Income per Person","2008","Longford","State=100","92.4"
"Index of Disposable Income per Person","2008","Offaly","State=100","89.1"
"Index of Disposable Income per Person","2008","Westmeath","State=100","91.6"
"Index of Disposable Income per Person","2009","State","State=100","100"
"Index of Disposable Income per Person","2009","Northern and Western","State=100","93.2"
"Index of Disposable Income per Person","2009","Border","State=100","89.4"
"Index of Disposable Income per Person","2009","Leitrim","State=100","98.5"
"Index of Disposable Income per Person","2009","Sligo","State=100","93.4"
"Index of Disposable Income per Person","2009","Cavan","State=100","96.8"
"Index of Disposable Income per Person","2009","Donegal","State=100","84"
"Index of Disposable Income per Person","2009","Monaghan","State=100","86.4"
"Index of Disposable Income per Person","2009","West","State=100","96.6"
"Index of Disposable Income per Person","2009","Galway","State=100","100.3"
"Index of Disposable Income per Person","2009","Mayo","State=100","90.8"
"Index of Disposable Income per Person","2009","Roscommon","State=100","94.5"
"Index of Disposable Income per Person","2009","Southern","State=100","97.1"
"Index of Disposable Income per Person","2009","Mid-West","State=100","96.7"
"Index of Disposable Income per Person","2009","Clare","State=100","95.6"
"Index of Disposable Income per Person","2009","Limerick","State=100","97.8"
"Index of Disposable Income per Person","2009","Tipperary","State=100","96"
"Index of Disposable Income per Person","2009","South-East","State=100","97"
"Index of Disposable Income per Person","2009","Carlow","State=100","95.3"
"Index of Disposable Income per Person","2009","Kilkenny","State=100","94.1"
"Index of Disposable Income per Person","2009","Wexford","State=100","100.4"
"Index of Disposable Income per Person","2009","Waterford","State=100","96"
"Index of Disposable Income per Person","2009","South-West","State=100","97.4"
"Index of Disposable Income per Person","2009","Cork","State=100","100.1"
"Index of Disposable Income per Person","2009","Kerry","State=100","88.3"
"Index of Disposable Income per Person","2009","Eastern and Midland","State=100","104.7"
"Index of Disposable Income per Person","2009","Dublin","State=100","109.3"
"Index of Disposable Income per Person","2009","Mid-East","State=100","101.1"
"Index of Disposable Income per Person","2009","Kildare","State=100","103.6"
"Index of Disposable Income per Person","2009","Louth","State=100","102.3"
"Index of Disposable Income per Person","2009","Meath","State=100","104.7"
"Index of Disposable Income per Person","2009","Wicklow","State=100","92.2"
"Index of Disposable Income per Person","2009","Midland","State=100","91.7"
"Index of Disposable Income per Person","2009","Laois","State=100","94.7"
"Index of Disposable Income per Person","2009","Longford","State=100","91.8"
"Index of Disposable Income per Person","2009","Offaly","State=100","87.6"
"Index of Disposable Income per Person","2009","Westmeath","State=100","92.9"
"Index of Disposable Income per Person","2010","State","State=100","100"
"Index of Disposable Income per Person","2010","Northern and Western","State=100","93.7"
"Index of Disposable Income per Person","2010","Border","State=100","89.8"
"Index of Disposable Income per Person","2010","Leitrim","State=100","100.6"
"Index of Disposable Income per Person","2010","Sligo","State=100","93.9"
"Index of Disposable Income per Person","2010","Cavan","State=100","96.4"
"Index of Disposable Income per Person","2010","Donegal","State=100","84.4"
"Index of Disposable Income per Person","2010","Monaghan","State=100","86.8"
"Index of Disposable Income per Person","2010","West","State=100","97.2"
"Index of Disposable Income per Person","2010","Galway","State=100","100.9"
"Index of Disposable Income per Person","2010","Mayo","State=100","92.3"
"Index of Disposable Income per Person","2010","Roscommon","State=100","93.6"
"Index of Disposable Income per Person","2010","Southern","State=100","98"
"Index of Disposable Income per Person","2010","Mid-West","State=100","98.6"
"Index of Disposable Income per Person","2010","Clare","State=100","96.5"
"Index of Disposable Income per Person","2010","Limerick","State=100","101.5"
"Index of Disposable Income per Person","2010","Tipperary","State=100","96.6"
"Index of Disposable Income per Person","2010","South-East","State=100","96.8"
"Index of Disposable Income per Person","2010","Carlow","State=100","97.1"
"Index of Disposable Income per Person","2010","Kilkenny","State=100","92.2"
"Index of Disposable Income per Person","2010","Wexford","State=100","100.6"
"Index of Disposable Income per Person","2010","Waterford","State=100","96"
"Index of Disposable Income per Person","2010","South-West","State=100","98.3"
"Index of Disposable Income per Person","2010","Cork","State=100","101.2"
"Index of Disposable Income per Person","2010","Kerry","State=100","88.5"
"Index of Disposable Income per Person","2010","Eastern and Midland","State=100","103.8"
"Index of Disposable Income per Person","2010","Dublin","State=100","108.8"
"Index of Disposable Income per Person","2010","Mid-East","State=100","99.4"
"Index of Disposable Income per Person","2010","Kildare","State=100","101.1"
"Index of Disposable Income per Person","2010","Louth","State=100","99.7"
"Index of Disposable Income per Person","2010","Meath","State=100","102.5"
"Index of Disposable Income per Person","2010","Wicklow","State=100","93.1"
"Index of Disposable Income per Person","2010","Midland","State=100","91.2"
"Index of Disposable Income per Person","2010","Laois","State=100","94.4"
"Index of Disposable Income per Person","2010","Longford","State=100","91.1"
"Index of Disposable Income per Person","2010","Offaly","State=100","86.3"
"Index of Disposable Income per Person","2010","Westmeath","State=100","93"
"Index of Disposable Income per Person","2011","State","State=100","100"
"Index of Disposable Income per Person","2011","Northern and Western","State=100","91.8"
"Index of Disposable Income per Person","2011","Border","State=100","89.6"
"Index of Disposable Income per Person","2011","Leitrim","State=100","97.2"
"Index of Disposable Income per Person","2011","Sligo","State=100","95.1"
"Index of Disposable Income per Person","2011","Cavan","State=100","89.7"
"Index of Disposable Income per Person","2011","Donegal","State=100","85.3"
"Index of Disposable Income per Person","2011","Monaghan","State=100","91"
"Index of Disposable Income per Person","2011","West","State=100","93.8"
"Index of Disposable Income per Person","2011","Galway","State=100","95.2"
"Index of Disposable Income per Person","2011","Mayo","State=100","92.9"
"Index of Disposable Income per Person","2011","Roscommon","State=100","90.2"
"Index of Disposable Income per Person","2011","Southern","State=100","98.6"
"Index of Disposable Income per Person","2011","Mid-West","State=100","102.4"
"Index of Disposable Income per Person","2011","Clare","State=100","92.6"
"Index of Disposable Income per Person","2011","Limerick","State=100","112"
"Index of Disposable Income per Person","2011","Tipperary","State=100","97.9"
"Index of Disposable Income per Person","2011","South-East","State=100","94.9"
"Index of Disposable Income per Person","2011","Carlow","State=100","98.6"
"Index of Disposable Income per Person","2011","Kilkenny","State=100","91.3"
"Index of Disposable Income per Person","2011","Wexford","State=100","94"
"Index of Disposable Income per Person","2011","Waterford","State=100","97.4"
"Index of Disposable Income per Person","2011","South-West","State=100","98.2"
"Index of Disposable Income per Person","2011","Cork","State=100","100.3"
"Index of Disposable Income per Person","2011","Kerry","State=100","90.9"
"Index of Disposable Income per Person","2011","Eastern and Midland","State=100","104.1"
