Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"54107 Dungarvan, Waterford Division",Theft and related offences,Number,234,253,207,249,272,228,199,217,196,164,202,185,216,201,181,198,197
Recorded Crime Offences Under Reservation,"54107 Dungarvan, Waterford Division","Fraud, deception and related offences",Number,18,16,15,12,10,15,17,18,11,14,14,14,19,8,9,12,31
Recorded Crime Offences Under Reservation,"54107 Dungarvan, Waterford Division",Controlled drug offences,Number,53,38,44,52,117,117,85,90,89,60,73,91,52,56,101,126,176
Recorded Crime Offences Under Reservation,"54107 Dungarvan, Waterford Division",Weapons and Explosives Offences,Number,9,5,20,24,20,15,14,12,6,21,8,13,11,17,12,16,14
Recorded Crime Offences Under Reservation,"54107 Dungarvan, Waterford Division",Damage to property and to the environment,Number,166,131,155,225,211,198,158,162,100,101,120,68,84,109,93,66,87
Recorded Crime Offences Under Reservation,"54107 Dungarvan, Waterford Division",Public order and other social code offences,Number,227,237,211,249,316,289,308,260,250,260,266,233,185,177,178,158,161
Recorded Crime Offences Under Reservation,"54107 Dungarvan, Waterford Division","Offences against government, justice procedures and organisation of crime",Number,7,8,5,17,29,17,21,15,21,39,20,17,9,15,20,13,26
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division","Attempts/threats to murder, assaults, harassments and related offences",Number,10,5,8,4,2,7,8,9,9,5,6,5,5,5,5,8,13
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Dangerous or negligent acts,Number,5,5,5,5,4,8,13,1,4,3,2,0,3,2,1,1,0
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Kidnapping and related offences,Number,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division","Robbery, extortion and hijacking offences",Number,0,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Burglary and related offences,Number,19,29,41,28,30,30,32,15,15,19,25,21,14,2,12,10,9
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Theft and related offences,Number,28,46,26,27,23,19,32,29,32,22,13,21,7,3,9,8,6
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division","Fraud, deception and related offences",Number,0,4,1,0,1,1,1,2,0,0,0,0,0,0,3,2,2
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Controlled drug offences,Number,3,0,0,1,7,2,4,1,2,3,2,0,1,1,0,1,4
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Weapons and Explosives Offences,Number,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Damage to property and to the environment,Number,12,20,22,14,20,18,17,13,9,16,5,4,4,3,4,8,7
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division",Public order and other social code offences,Number,10,13,92,7,6,7,16,12,17,7,7,3,7,4,4,7,12
Recorded Crime Offences Under Reservation,"43105 Dunlavin, Wicklow Division","Offences against government, justice procedures and organisation of crime",Number,3,1,0,0,2,1,0,0,0,2,0,0,0,2,0,1,3
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division","Attempts/threats to murder, assaults, harassments and related offences",Number,14,6,5,11,12,18,28,13,19,26,15,18,21,16,14,19,22
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Dangerous or negligent acts,Number,9,9,19,22,23,6,12,12,5,7,4,6,3,7,6,4,8
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Kidnapping and related offences,Number,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,0,2,0,2,1,1,0,1,1,0,2,0,0
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Burglary and related offences,Number,17,21,31,27,30,36,18,23,29,23,26,34,22,15,12,7,16
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Theft and related offences,Number,40,34,40,45,49,68,67,52,48,52,42,51,35,39,36,25,28
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division","Fraud, deception and related offences",Number,0,2,2,1,10,5,4,5,2,7,3,6,6,4,5,5,3
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Controlled drug offences,Number,0,2,10,4,3,7,11,3,3,4,1,2,4,3,3,3,11
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Weapons and Explosives Offences,Number,0,2,1,1,0,4,2,3,2,0,2,1,1,1,1,0,5
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Damage to property and to the environment,Number,22,21,24,16,29,46,32,45,29,37,24,33,34,9,11,16,18
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division",Public order and other social code offences,Number,11,9,15,12,20,13,24,30,21,20,23,32,22,13,22,14,17
Recorded Crime Offences Under Reservation,"14203 Dunleer, Louth Division","Offences against government, justice procedures and organisation of crime",Number,0,2,1,0,0,0,1,6,3,0,3,4,4,3,1,0,3
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division","Attempts/threats to murder, assaults, harassments and related offences",Number,6,17,11,22,25,18,27,16,12,13,10,17,18,10,9,16,22
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Dangerous or negligent acts,Number,10,13,14,16,11,19,14,10,11,7,4,6,7,7,7,12,21
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Kidnapping and related offences,Number,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,1,0,2,3,2,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Burglary and related offences,Number,10,11,12,19,16,12,10,3,11,11,9,12,11,7,4,2,4
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Theft and related offences,Number,16,22,42,60,39,31,27,26,46,47,38,31,23,14,17,20,14
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division","Fraud, deception and related offences",Number,2,0,0,5,7,6,8,1,2,2,1,2,4,3,0,1,8
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Controlled drug offences,Number,6,8,5,11,11,26,15,24,12,18,13,8,13,20,14,16,12
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Weapons and Explosives Offences,Number,3,2,6,3,3,3,2,4,2,2,1,0,1,1,0,4,0
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Damage to property and to the environment,Number,17,12,24,58,57,33,38,28,27,21,30,19,6,16,20,31,21
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division",Public order and other social code offences,Number,19,44,92,157,99,64,40,34,68,24,24,27,13,23,36,36,38
Recorded Crime Offences Under Reservation,"33306 Dunmanway, Cork West Division","Offences against government, justice procedures and organisation of crime",Number,1,0,2,6,10,5,1,2,0,1,1,1,4,2,3,6,2
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,3,3,2,3,9,7,13,9,16,4,6,14,6,2,5,9,5
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Dangerous or negligent acts,Number,9,8,11,7,16,6,7,8,5,9,8,4,4,4,6,4,5
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,2,0
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Burglary and related offences,Number,18,11,28,22,8,15,21,18,9,16,12,19,14,16,19,10,5
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Theft and related offences,Number,17,8,25,30,26,30,36,43,28,24,30,17,48,18,16,21,13
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division","Fraud, deception and related offences",Number,0,0,0,0,1,0,0,0,0,1,3,0,0,1,1,1,1
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Controlled drug offences,Number,2,16,6,1,3,8,10,3,4,5,5,3,4,6,1,9,0
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Weapons and Explosives Offences,Number,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,2
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Damage to property and to the environment,Number,7,9,13,29,18,26,22,32,25,13,13,9,17,10,14,11,11
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division",Public order and other social code offences,Number,7,6,9,14,33,32,18,25,42,15,20,10,6,2,3,6,4
Recorded Crime Offences Under Reservation,"54301 Dunmore East, Waterford Division","Offences against government, justice procedures and organisation of crime",Number,1,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,10,10,1,8,2,6,13,10,6,8,5,3,6,8,2,9,4
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Dangerous or negligent acts,Number,11,5,4,2,3,1,3,2,5,1,5,5,3,1,2,4,3
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Burglary and related offences,Number,8,3,2,2,6,3,5,9,8,10,8,4,8,5,4,8,6
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Theft and related offences,Number,8,8,11,8,5,23,14,20,21,14,20,24,23,11,11,12,5
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division","Fraud, deception and related offences",Number,0,0,2,0,0,2,1,2,2,0,1,0,0,1,2,0,4
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Controlled drug offences,Number,0,0,0,0,0,0,5,1,1,2,0,2,5,2,0,0,0
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Weapons and Explosives Offences,Number,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Damage to property and to the environment,Number,8,5,4,9,5,14,7,6,5,5,6,4,8,6,3,7,5
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division",Public order and other social code offences,Number,17,25,6,12,10,8,40,13,14,13,9,2,11,7,4,6,4
Recorded Crime Offences Under Reservation,"23804 Dunmore, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,0,1,0,3,2,0,1,0,0,0,1,2,0,0,0,0
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division","Attempts/threats to murder, assaults, harassments and related offences",Number,5,15,19,18,37,23,31,17,16,30,21,38,25,23,14,32,18
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Dangerous or negligent acts,Number,21,18,17,39,36,30,24,18,15,25,23,12,12,14,22,17,11
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division","Robbery, extortion and hijacking offences",Number,5,2,5,3,1,4,2,2,1,3,4,2,1,1,2,0,0
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Burglary and related offences,Number,51,38,47,61,54,48,73,56,85,91,44,56,53,58,47,37,38
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Theft and related offences,Number,73,76,125,86,123,105,135,124,149,109,100,106,85,70,81,74,72
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division","Fraud, deception and related offences",Number,4,3,4,6,6,10,8,6,9,12,6,6,7,5,8,11,7
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Controlled drug offences,Number,2,6,4,5,3,7,19,17,8,4,6,3,2,4,11,18,13
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Weapons and Explosives Offences,Number,0,0,1,1,3,5,4,2,3,0,1,2,0,2,3,1,0
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Damage to property and to the environment,Number,27,15,55,35,50,44,56,34,49,35,26,38,13,21,21,20,16
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division",Public order and other social code offences,Number,22,17,51,35,51,40,46,32,18,18,26,21,22,16,16,11,16
Recorded Crime Offences Under Reservation,"42104 Dunshaughlin, Meath Division","Offences against government, justice procedures and organisation of crime",Number,9,12,13,10,29,40,24,30,1,2,3,1,3,2,4,7,11
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division","Attempts/threats to murder, assaults, harassments and related offences",Number,7,8,4,6,4,9,6,4,7,2,3,4,4,3,5,5,10
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Dangerous or negligent acts,Number,6,6,15,14,14,12,5,1,2,4,0,3,3,3,2,6,2
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Kidnapping and related offences,Number,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division","Robbery, extortion and hijacking offences",Number,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Burglary and related offences,Number,11,20,14,15,9,7,4,7,23,14,26,20,19,3,6,7,3
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Theft and related offences,Number,18,33,32,24,18,15,29,16,12,15,19,21,24,9,7,12,8
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division","Fraud, deception and related offences",Number,2,0,2,3,1,3,0,2,0,1,0,2,2,1,1,1,4
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Controlled drug offences,Number,5,0,6,10,10,10,3,1,3,1,2,1,2,4,1,3,3
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Weapons and Explosives Offences,Number,0,0,1,0,1,1,2,0,0,0,0,0,2,1,0,0,0
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Damage to property and to the environment,Number,6,5,12,12,7,8,21,9,6,8,5,5,4,4,3,4,6
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division",Public order and other social code offences,Number,21,22,17,33,16,23,15,11,8,5,8,4,7,3,4,4,3
Recorded Crime Offences Under Reservation,"41208 Durrow, Laois/Offaly Division","Offences against government, justice procedures and organisation of crime",Number,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division","Attempts/threats to murder, assaults, harassments and related offences",Number,4,1,2,3,3,3,2,1,1,3,5,1,3,0,4,6,3
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Dangerous or negligent acts,Number,2,0,1,2,2,2,2,4,0,1,1,4,1,0,2,3,0
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Burglary and related offences,Number,0,1,2,11,3,3,2,1,0,3,0,3,3,0,1,0,0
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Theft and related offences,Number,3,4,5,6,9,4,11,4,5,7,4,6,5,4,4,1,4
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division","Fraud, deception and related offences",Number,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Controlled drug offences,Number,0,0,0,1,2,8,1,1,3,1,0,3,5,0,1,0,4
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Damage to property and to the environment,Number,2,7,1,3,10,8,3,3,2,2,1,2,2,2,2,1,2
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division",Public order and other social code offences,Number,4,2,3,5,4,0,3,0,3,3,3,0,1,2,2,1,2
Recorded Crime Offences Under Reservation,"33206 Durrus, Cork West Division","Offences against government, justice procedures and organisation of crime",Number,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division","Attempts/threats to murder, assaults, harassments and related offences",Number,47,26,46,43,59,27,41,37,45,37,36,27,42,39,39,44,45
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Dangerous or negligent acts,Number,25,33,36,44,41,40,20,16,13,14,8,3,5,12,10,21,6
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Kidnapping and related offences,Number,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division","Robbery, extortion and hijacking offences",Number,3,1,4,1,1,2,7,5,3,4,3,0,1,1,1,5,2
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Burglary and related offences,Number,47,37,58,58,65,62,61,69,92,55,72,96,51,31,58,32,43
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Theft and related offences,Number,70,82,86,111,77,81,119,102,102,62,88,123,87,82,98,90,109
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division","Fraud, deception and related offences",Number,6,5,7,4,7,8,5,4,5,10,4,10,12,27,10,9,14
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Controlled drug offences,Number,11,9,31,16,43,42,25,36,31,7,7,7,13,9,19,20,20
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Weapons and Explosives Offences,Number,6,3,7,5,6,4,3,8,8,5,6,5,9,3,5,7,6
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Damage to property and to the environment,Number,56,54,82,69,68,62,61,92,91,52,37,62,48,39,42,31,42
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division",Public order and other social code offences,Number,145,88,82,79,89,86,51,53,64,48,29,26,28,32,35,35,35
Recorded Crime Offences Under Reservation,"41304 Edenderry, Laois/Offaly Division","Offences against government, justice procedures and organisation of crime",Number,7,4,4,10,11,11,14,8,6,11,5,3,4,4,12,3,7
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,10,29,8,24,19,31,29,22,20,21,20,30,34,16,21,21,16
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Dangerous or negligent acts,Number,19,9,19,15,12,17,16,16,9,13,19,12,11,13,24,6,13
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Kidnapping and related offences,Number,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division","Robbery, extortion and hijacking offences",Number,2,2,0,2,1,4,2,1,3,0,3,1,2,1,0,1,1
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Burglary and related offences,Number,31,22,29,20,40,33,50,46,60,41,66,50,21,23,26,30,24
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Theft and related offences,Number,48,34,38,46,65,57,74,67,68,46,57,47,41,33,46,50,23
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division","Fraud, deception and related offences",Number,0,1,0,3,3,3,9,5,10,9,4,2,4,5,2,8,6
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Controlled drug offences,Number,1,0,2,5,5,13,17,4,9,11,19,17,27,19,22,7,10
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Weapons and Explosives Offences,Number,3,3,0,6,4,2,6,6,5,3,4,1,9,1,5,2,1
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Damage to property and to the environment,Number,18,10,18,22,44,34,41,40,41,29,52,47,45,40,28,25,19
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division",Public order and other social code offences,Number,39,20,16,31,43,43,48,29,29,30,21,34,24,25,22,14,18
Recorded Crime Offences Under Reservation,"24304 Edgeworthstown, Roscommon/Longford Division","Offences against government, justice procedures and organisation of crime",Number,2,4,4,3,1,3,5,3,4,1,1,4,7,3,2,1,5
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,1,5,11,4,3,5,1,0,3,4,5,1,6,1,3,1
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Dangerous or negligent acts,Number,5,4,3,7,4,1,4,3,1,1,3,1,0,1,4,6,4
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Burglary and related offences,Number,4,3,4,5,5,11,9,3,3,12,4,5,9,1,6,4,7
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Theft and related offences,Number,5,14,11,13,6,6,6,4,8,7,9,4,9,6,6,8,2
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division","Fraud, deception and related offences",Number,0,0,0,2,1,0,0,4,1,4,1,1,1,0,1,1,1
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Controlled drug offences,Number,0,0,4,0,0,1,13,0,4,2,1,0,0,1,1,0,3
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Weapons and Explosives Offences,Number,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Damage to property and to the environment,Number,4,5,14,4,6,3,4,4,2,6,5,2,0,4,3,7,3
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division",Public order and other social code offences,Number,12,6,11,4,3,7,7,6,5,3,3,2,2,6,6,3,1
Recorded Crime Offences Under Reservation,"24103 Elphin, Roscommon/Longford Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division","Attempts/threats to murder, assaults, harassments and related offences",Number,3,3,4,8,6,8,4,4,2,2,4,2,1,3,3,3,6
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Dangerous or negligent acts,Number,0,1,1,3,3,2,1,0,1,3,2,3,1,3,4,0,1
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division","Robbery, extortion and hijacking offences",Number,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Burglary and related offences,Number,3,3,3,2,3,3,3,5,7,1,11,0,3,3,0,3,5
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Theft and related offences,Number,4,4,4,1,2,2,7,8,4,9,8,5,5,6,6,15,5
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division","Fraud, deception and related offences",Number,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Controlled drug offences,Number,0,0,0,1,2,1,3,2,0,0,1,1,6,0,3,0,0
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Weapons and Explosives Offences,Number,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Damage to property and to the environment,Number,3,6,3,10,13,4,5,4,5,5,4,5,4,7,3,3,4
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division",Public order and other social code offences,Number,7,10,3,7,7,2,3,1,2,2,4,2,5,3,1,4,5
Recorded Crime Offences Under Reservation,"51604 Emly, Tipperary Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,1,0,0,2,3,2,1,1,0,1,0,3,2
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division","Attempts/threats to murder, assaults, harassments and related offences",Number,11,18,13,13,14,11,14,18,9,9,11,5,6,7,5,7,6
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Dangerous or negligent acts,Number,12,11,11,21,12,27,12,13,9,5,5,4,3,12,4,7,4
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division","Robbery, extortion and hijacking offences",Number,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Burglary and related offences,Number,14,4,22,24,12,9,15,7,8,9,12,4,8,12,7,6,12
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Theft and related offences,Number,50,24,44,40,29,66,28,48,35,50,29,25,24,12,13,36,21
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division","Fraud, deception and related offences",Number,4,3,2,5,1,8,3,2,1,4,3,2,0,1,4,1,4
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Controlled drug offences,Number,0,0,1,1,2,15,3,5,5,2,3,1,2,1,5,2,4
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Weapons and Explosives Offences,Number,0,3,1,0,0,0,3,0,0,1,2,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Damage to property and to the environment,Number,10,12,24,16,12,13,22,12,17,8,12,7,10,7,4,8,10
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division",Public order and other social code offences,Number,12,21,9,9,19,8,12,5,10,9,15,12,11,3,2,4,5
