Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Damage to property and to the environment,Number,2,0,2,4,8,4,12,6,5,6,5,2,8,8,2,4,8
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Public order and other social code offences,Number,2,3,6,2,4,4,9,4,3,9,4,0,3,5,6,2,4
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,3,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,3,2,9,9,7,7,11,3,4,2,3,4,3,8,10,5,3
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Dangerous or negligent acts,Number,3,3,1,2,12,8,5,5,2,3,1,2,1,3,3,0,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Burglary and related offences,Number,0,3,4,2,3,6,4,5,5,2,2,0,3,4,1,1,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Theft and related offences,Number,9,7,8,11,10,8,8,7,0,12,3,3,3,2,3,4,2
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division","Fraud, deception and related offences",Number,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Controlled drug offences,Number,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,1,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Weapons and Explosives Offences,Number,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Damage to property and to the environment,Number,6,6,11,7,12,14,7,16,10,6,4,5,4,3,0,12,10
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division",Public order and other social code offences,Number,11,3,47,9,26,7,10,3,6,2,2,3,2,9,1,1,1
Recorded Crime Offences Under Reservation,"12501 Ailt an Chorraiin, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,20,49,27,32,22,47,53,34,19,21,9,12,11,21,29,19,19
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Dangerous or negligent acts,Number,16,24,15,25,25,20,24,13,15,15,5,5,5,7,3,9,11
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Burglary and related offences,Number,20,22,27,23,22,21,9,8,11,7,2,6,9,5,3,4,4
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Theft and related offences,Number,25,16,24,37,26,30,20,12,11,10,6,8,10,10,4,10,3
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division","Fraud, deception and related offences",Number,1,1,0,0,1,2,3,1,1,0,1,1,0,4,7,2,3
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Controlled drug offences,Number,1,1,5,9,3,3,5,1,3,2,1,4,1,5,2,3,5
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Weapons and Explosives Offences,Number,0,0,0,3,2,0,4,1,0,1,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Damage to property and to the environment,Number,40,35,49,56,30,49,27,22,15,13,4,9,13,6,21,6,15
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division",Public order and other social code offences,Number,26,16,35,60,77,106,72,109,38,29,0,9,9,11,11,8,6
Recorded Crime Offences Under Reservation,"12502 An Bun Beag, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,2,3,2,3,5,7,6,3,2,1,1,1,2,1,2,2,1
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,16,2,8,4,4,9,5,3,1,2,6,4,4,3,3,4,7
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Dangerous or negligent acts,Number,5,0,3,8,6,8,6,4,5,3,1,1,0,0,1,3,1
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Burglary and related offences,Number,6,4,7,2,3,2,6,4,4,2,0,2,0,2,0,2,1
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Theft and related offences,Number,7,5,8,5,5,3,4,2,4,6,2,7,1,6,1,7,3
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division","Fraud, deception and related offences",Number,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,1,2
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Controlled drug offences,Number,4,0,2,1,3,2,0,1,1,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Weapons and Explosives Offences,Number,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Damage to property and to the environment,Number,13,15,7,7,9,6,7,7,2,3,4,7,6,10,0,1,1
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division",Public order and other social code offences,Number,6,14,18,11,8,13,5,7,0,4,2,2,1,4,1,3,0
Recorded Crime Offences Under Reservation,"12503 An Charraig, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,6,14,8,26,17,13,10,7,16,18,11,8,11,7,9,5,6
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Dangerous or negligent acts,Number,4,2,5,5,14,17,12,16,4,10,12,3,8,4,3,5,7
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Kidnapping and related offences,Number,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Burglary and related offences,Number,10,4,2,5,3,2,3,2,4,5,2,2,2,0,2,1,3
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Theft and related offences,Number,10,12,11,4,7,13,17,3,3,5,9,1,7,1,5,3,4
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division","Fraud, deception and related offences",Number,0,0,1,1,0,2,0,2,1,0,2,0,1,0,1,0,0
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Controlled drug offences,Number,0,0,0,0,1,4,1,4,0,0,0,0,0,0,1,2,4
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Damage to property and to the environment,Number,13,22,7,17,17,12,8,11,9,11,8,8,8,2,2,4,9
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division",Public order and other social code offences,Number,4,10,9,21,9,29,19,18,19,23,10,15,12,6,6,4,7
Recorded Crime Offences Under Reservation,"23601 An Cheathru Rua, Galway Division","Offences against government, justice procedures and organisation of crime",Number,1,2,3,0,0,3,0,1,1,0,1,5,2,1,4,2,3
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,16,17,13,15,23,25,11,10,23,12,18,23,20,15,26,20,24
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Dangerous or negligent acts,Number,17,9,9,14,21,28,14,5,6,6,5,7,4,5,7,2,13
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Burglary and related offences,Number,14,8,6,8,6,9,6,8,8,0,4,2,4,2,9,8,2
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Theft and related offences,Number,18,12,16,30,24,16,21,12,25,15,13,19,14,10,7,7,17
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division","Fraud, deception and related offences",Number,25,2,0,3,2,1,5,3,2,2,2,2,0,1,6,1,46
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Controlled drug offences,Number,3,1,0,5,5,2,6,3,1,2,0,0,0,0,0,0,4
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Weapons and Explosives Offences,Number,0,0,0,1,0,2,1,5,1,1,0,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Damage to property and to the environment,Number,17,11,11,20,18,17,17,20,11,9,5,9,4,9,11,8,11
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division",Public order and other social code offences,Number,83,40,112,41,34,36,29,25,19,18,13,15,19,22,19,17,10
Recorded Crime Offences Under Reservation,"12504 An Clochain Liath, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,2,2,1,3,2,7,2,4,0,0,1,2,1,6,2,1,3
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division","Attempts/threats to murder, assaults, harassments and related offences",Number,4,1,1,4,9,9,5,7,1,8,2,5,9,3,4,3,2
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Dangerous or negligent acts,Number,7,10,9,13,3,4,10,6,5,3,2,2,4,2,4,2,3
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Burglary and related offences,Number,7,5,3,2,2,3,4,5,2,7,2,11,5,5,0,1,1
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Theft and related offences,Number,5,6,10,8,4,12,12,8,7,7,9,7,7,12,11,11,7
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division","Fraud, deception and related offences",Number,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Controlled drug offences,Number,2,3,2,0,0,1,0,7,0,1,15,0,0,1,4,1,2
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Weapons and Explosives Offences,Number,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Damage to property and to the environment,Number,3,3,2,2,6,7,9,4,4,6,6,2,2,2,7,7,2
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division",Public order and other social code offences,Number,5,5,7,12,8,1,6,6,4,5,6,9,0,5,3,8,2
Recorded Crime Offences Under Reservation,"34101 An Coirean, Kerry Division","Offences against government, justice procedures and organisation of crime",Number,1,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,4,2,1,4,1,2,3,3,1,8,3,2,1,3,5,5,3
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Dangerous or negligent acts,Number,1,2,6,5,5,4,1,3,2,1,0,1,2,0,2,0,1
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Burglary and related offences,Number,0,0,2,0,1,1,4,2,1,1,5,2,0,0,0,1,2
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Theft and related offences,Number,5,8,4,10,5,10,16,5,1,4,0,5,1,3,2,1,6
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division","Fraud, deception and related offences",Number,1,0,1,0,0,0,1,0,1,0,2,0,1,0,1,0,0
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Controlled drug offences,Number,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Damage to property and to the environment,Number,0,8,4,10,4,10,10,6,7,3,3,7,5,6,3,1,1
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division",Public order and other social code offences,Number,0,3,8,2,7,3,7,4,9,1,0,2,2,1,1,3,2
Recorded Crime Offences Under Reservation,"12401 An Craoslach, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,9,7,8,13,15,28,23,16,12,10,12,7,5,11,8,21,19
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Dangerous or negligent acts,Number,7,11,14,22,34,29,2,12,4,8,4,9,6,8,7,3,5
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Burglary and related offences,Number,25,14,14,17,5,6,5,5,0,6,2,2,2,3,2,1,2
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Theft and related offences,Number,25,20,22,23,15,23,19,13,8,13,6,3,8,1,7,4,7
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division","Fraud, deception and related offences",Number,0,0,5,1,1,0,3,5,1,1,1,1,0,0,0,1,0
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Controlled drug offences,Number,1,3,10,9,7,3,3,5,4,0,5,1,1,2,4,8,2
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Weapons and Explosives Offences,Number,0,4,2,1,1,3,2,0,1,0,0,0,1,2,0,1,0
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Damage to property and to the environment,Number,23,36,34,25,27,53,19,16,5,5,10,12,4,8,1,12,3
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division",Public order and other social code offences,Number,41,63,97,45,90,103,55,49,30,11,14,22,11,20,5,9,12
Recorded Crime Offences Under Reservation,"12402 An Fail Carrach, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,1,0,3,3,3,1,5,3,0,2,1,0,0,1,1,2,1
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,3,2,5,0,3,3,2,2,1,7,0,3,6,2,5,6,2
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Dangerous or negligent acts,Number,0,3,0,0,4,3,4,3,4,3,4,4,8,1,6,4,3
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Burglary and related offences,Number,13,3,2,4,7,5,15,5,7,3,3,5,5,6,4,2,2
