id_wing,s_wing,wing,dg_wing,area,peri,e_len_axe1,max_len_axe1,devmax_cent_axe1,m2_axe1,m3_axe1,m4_axe1,stdm2_axe1,stdm3_axe1,stdm4_axe1,e_len_axe2,max_len_axe2,devmax_cent_axe2,m2_axe2,m3_axe2,m4_axe2,stdm2_axe2,stdm3_axe2,stdm4_axe2,sex,tribe,genus,geno1,geno2,seg
MJ99.0072-d_Post_g,d,Post,g,664799.0,3592.0613,1089.9301,1077.0,-11.2264,244107613178.0,185717765347584.0,1.51504394220621e+17,0.5626399999999999,0.60698,0.64153,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0072-v_Ant_d,v,Ant,d,946781.0,4490.8696,1629.4581,1701.0,74.9983,964106471403.0,1169459128975530.0,1.50732031516354e+18,0.59324,0.6307699999999999,0.66037,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0072-v_Ant_g,v,Ant,g,929270.0,4402.1244,1619.7725,1656.0,51.8514,877672754853.0,1034962356380250.0,1.29838453016852e+18,0.58686,0.6259399999999999,0.6565300000000001,747.8782,814.0,-36.8532,156744343164.0,81899519297492.0,4.63504486165542e+16,0.50455,0.54671,0.58057,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0072-v_Post_d,v,Post,d,667242.0,3646.103,1091.7179,1078.0,-10.6544,246125847207.0,187658963866057.0,1.53435944100066e+17,0.5634,0.60778,0.6423800000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0072-v_Post_g,v,Post,g,643517.0,3378.7577,1089.2492,1067.0,-53.478,232225156453.0,175800010564401.0,1.42756439321412e+17,0.563,0.60812,0.6432,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0073-d_Ant_d,d,Ant,d,1006348.0,4877.9133,1676.5906,1748.0,24.4159,1050553786620.0,1297416889460840.0,1.70506869753509e+18,0.5845100000000001,0.62264,0.65269,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0073-d_Ant_g,d,Ant,g,997973.0,4567.7295,1672.4248,1713.0,30.2957,1024746247728.0,1256363779628450.0,1.63799907211883e+18,0.59155,0.63034,0.66076,778.6416,846.0,-72.5137,183696353529.0,100224117585691.0,5.92334126482693e+16,0.50713,0.54943,0.58343,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0073-d_Post_d,d,Post,d,502713.0,4252.904,1063.0801,1089.0,63.5804,166002418267.0,122113038865711.0,9.75505633776926e+16,0.52768,0.57295,0.60947,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0073-d_Post_g,d,Post,g,630854.0,3426.6745,1063.7309,1054.0,32.7914,225262598490.0,167741432663222.0,1.3364643914279e+17,0.56694,0.6100899999999999,0.64367,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0073-v_Ant_d,v,Ant,d,1001074.0,4599.8544,1675.8955,1717.0,30.1407,1032683872397.0,1268931540848730.0,1.65814595281405e+18,0.59153,0.63031,0.66072,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
